Company,TypeName,Inches,Ram,OpSys,Weight,Price_in_euros,Cpu_Brand,Cpu_Type,Cpu_Speed,Gpu_Brand,Gpu_Type,SSD,HDD,Flash_Storage,Screen_Width,Screen_Height,TotalPixels,PPI,Ram_to_Storage,Processing_Power
HP,Notebook,15.6,8,Windows,1.86,539.0,Intel,i3,2.0,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,16.0
Dell,Gaming,15.6,16,Windows,2.59,879.01,Intel,i7,2.6,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,8.0,41.6
HP,Notebook,15.6,8,Windows,2.04,900.0,Intel,i7,2.7,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,21.6
Apple,Ultrabook,13.3,8,Mac,1.34,898.94,Intel,i5,1.8,Intel,Integrated,0,0,1,1440.0,900.0,1296000.0,7326.587144553111,4.0,14.4
Dell,Notebook,15.6,4,Linux,2.25,428.0,Intel,i3,2.0,AMD,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,8.0
HP,Notebook,14.0,8,Windows,2.31,1124.0,Intel,i5,2.6,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,5352.489795918367,4.0,20.8
HP,Notebook,13.3,4,Windows,1.32,699.0,Intel,i5,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,2.0,10.0
Lenovo,Notebook,15.6,8,Other,2.2,499.0,Intel,i3,2.4,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,19.2
MSI,Gaming,17.3,8,Windows,2.7,1348.48,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,2.6666666666666665,22.4
Lenovo,Workstation,15.6,16,Windows,2.3,2445.0,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,3840.0,2160.0,8294400.0,34082.840236686396,8.0,44.8
Apple,Ultrabook,13.3,8,Mac,1.37,1958.9,Intel,i5,2.9,Intel,Integrated,1,0,0,2560.0,1600.0,4096000.0,23155.633444513536,4.0,23.2
Lenovo,Notebook,15.6,12,Windows,2.2,609.0,Intel,i7,1.8,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,6.0,21.6
Lenovo,Notebook,15.6,4,Windows,2.2,344.0,Intel,Quad,1.1,Intel,Integrated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,4.4
Toshiba,Ultrabook,13.3,16,Windows,1.2,1747.0,Intel,i7,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,8.0,40.0
Dell,Ultrabook,15.6,8,Windows,1.88,1298.0,Intel,i7,1.9,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,15.2
Lenovo,Notebook,15.6,8,Other,2.2,329.0,Intel,Quad,1.6,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,12.8
MSI,Gaming,17.3,8,Windows,2.7,1409.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,2.6666666666666665,22.4
Lenovo,Ultrabook,14.0,8,Windows,1.17,1686.64,Intel,i7,2.5,Intel,Integrated,1,0,0,2560.0,1440.0,3686400.0,18808.163265306124,4.0,20.0
MSI,Gaming,15.6,8,Windows,2.3,1169.0,Intel,i7,2.6,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,20.8
Toshiba,Notebook,13.3,4,Windows,1.05,1285.0,Intel,i5,2.5,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,2.0,10.0
Acer,Netbook,11.6,4,Other,1.35,355.0,Intel,Dual,1.6,Intel,Integrated,0,0,1,1366.0,768.0,1049088.0,7796.432818073722,2.0,6.4
Dell,Notebook,15.6,16,Windows,2.3,859.01,Intel,i7,2.7,AMD,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,8.0,43.2
Lenovo,Notebook,14.0,8,Other,1.5,799.0,Intel,i7,2.7,AMD,Dedicated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,21.6
Chuwi,Notebook,15.6,4,Windows,1.89,244.99,Intel,x5-Z8300,1.44,Intel,Integrated,0,0,1,1920.0,1080.0,2073600.0,8520.710059171599,2.0,5.76
MSI,Gaming,15.6,8,Windows,2.4,1229.0,Intel,i7,2.6,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,20.8
HP,Workstation,17.3,8,Windows,3.0,2899.0,Intel,i7,2.6,AMD,Dedicated,0,1,0,1920.0,1080.0,2073600.0,6928.397206722576,4.0,20.8
Dell,Gaming,15.6,8,Windows,2.65,949.0,Intel,i5,2.5,Nvidia,Dedicated,0,0,0,1920.0,1080.0,2073600.0,8520.710059171599,8.0,20.0
Asus,Gaming,15.6,8,Windows,1.99,1350.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,22.4
Asus,Notebook,15.6,4,Windows,2.37,398.99,Intel,i3,2.4,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,9.6
Lenovo,Notebook,13.3,8,Windows,1.4,1010.0,Intel,i7,2.7,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,4.0,21.6
Huawei,Ultrabook,13.0,8,Windows,1.05,1349.0,Intel,i5,2.5,Intel,Integrated,1,0,0,2160.0,1440.0,3110400.0,18404.73372781065,4.0,20.0
Dell,Notebook,15.6,8,Windows,2.36,557.37,Intel,i5,2.5,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,20.0
Dell,Notebook,15.6,8,Windows,2.18,836.0,Intel,i5,2.5,Intel,Integrated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,20.0
HP,Notebook,15.6,4,Windows,1.96,500.0,Intel,Quad,1.6,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,6.4
HP,Notebook,14.0,4,Windows,1.54,1000.0,Intel,i5,2.3,Intel,Integrated,0,1,0,1920.0,1080.0,2073600.0,10579.591836734693,2.0,9.2
HP,Workstation,17.3,8,Windows,3.14,1907.99,Intel,i7,2.8,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,6928.397206722576,4.0,22.4
HP,Notebook,15.6,4,Other,1.86,299.0,Intel,Dual,1.6,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,6.4
Dell,Ultrabook,15.6,8,Windows,1.9,1049.0,Intel,i5,1.6,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,12.8
Lenovo,Ultrabook,14.0,8,Windows,1.13,1875.0,Intel,i5,2.5,Intel,Integrated,0,0,1,1920.0,1080.0,2073600.0,10579.591836734693,4.0,20.0
Lenovo,Gaming,15.6,8,Windows,2.6,1272.0,Intel,i7,2.6,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,2.6666666666666665,20.8
Lenovo,Workstation,15.6,8,Windows,2.67,1925.0,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,22.4
Lenovo,Notebook,15.6,8,Windows,2.2,597.0,Intel,i5,2.5,Intel,Integrated,1,0,0,1366.0,768.0,1049088.0,4310.848126232742,4.0,20.0
Toshiba,Notebook,13.3,4,Windows,1.2,1195.0,Intel,i5,2.3,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,2.0,9.2
Dell,Ultrabook,13.3,8,Windows,1.3,1268.0,Intel,i7,2.5,Intel,Integrated,1,0,0,3200.0,1800.0,5760000.0,32562.609531347163,4.0,20.0
Lenovo,Notebook,15.6,8,Other,2.2,709.0,Intel,i7,2.7,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,21.6
HP,Notebook,15.6,4,Windows,1.86,485.0,Intel,i5,2.5,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,10.0
HP,Notebook,15.6,4,Windows,1.91,439.0,Intel,i3,2.0,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,8.0
Razer,Gaming,14.0,16,Windows,1.95,2899.0,Intel,i7,2.8,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,8.0,44.8
Asus,Gaming,17.3,16,Windows,3.25,2199.0,AMD,1700,3.0,AMD,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,5.333333333333333,48.0
HP,Notebook,14.0,8,Windows,1.64,1049.26,Intel,i5,2.5,Nvidia,Dedicated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,20.0
Lenovo,Notebook,13.3,4,Windows,1.44,735.0,Intel,i3,2.4,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,11722.539431284978,2.0,9.6
Dell,Netbook,11.6,4,Other,1.26,295.0,Intel,Dual,1.6,Intel,Integrated,0,0,1,1366.0,768.0,1049088.0,7796.432818073722,2.0,6.4
Razer,Gaming,17.3,32,Windows,3.49,6099.0,Intel,i7,2.9,Nvidia,Dedicated,1,0,0,3840.0,2160.0,8294400.0,27713.588826890304,16.0,92.8
HP,Notebook,15.6,6,Windows,2.19,764.0,Intel,i7,2.5,AMD,Dedicated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,3.0,15.0
HP,Notebook,14.0,8,Windows,1.63,1084.0,Intel,i7,1.8,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,10579.591836734693,4.0,14.4
Asus,Gaming,17.3,8,Windows,3.0,1187.0,Intel,i7,2.8,Nvidia,Dedicated,0,1,0,1920.0,1080.0,2073600.0,6928.397206722576,4.0,22.4
MSI,Gaming,17.3,16,Windows,2.43,2449.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,6928.397206722576,5.333333333333333,44.8
Lenovo,Notebook,15.6,4,Other,2.2,444.0,Intel,i3,2.0,Intel,Integrated,1,0,0,1920.0,1080.0,2073600.0,8520.710059171599,2.0,8.0
Dell,Notebook,15.6,4,Linux,2.2,324.0,Intel,Quad,1.6,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,6.4
Apple,Ultrabook,12.0,8,Mac,0.92,1510.0,Intel,i5,1.3,Intel,Integrated,1,0,0,2304.0,1440.0,3317760.0,23040.0,4.0,10.4
HP,Notebook,15.6,8,Windows,2.1,745.0,Intel,i7,2.7,AMD,Dedicated,0,1,0,1920.0,1080.0,2073600.0,8520.710059171599,4.0,21.6
Asus,Gaming,15.6,16,Windows,2.5,1799.0,Intel,i7,2.8,Nvidia,Dedicated,1,1,0,1920.0,1080.0,2073600.0,8520.710059171599,5.333333333333333,44.8
Dell,Notebook,15.6,4,Linux,2.2,393.49,Intel,Quad,1.6,Intel,Integrated,0,1,0,1366.0,768.0,1049088.0,4310.848126232742,2.0,6.4
